"Date","Fuel_Price","IsHoliday","WSdep1","WSdep2","WSdep3","WSdep4"
"2011-05-27",3.786,FALSE,34074,115361,68368,119816
"2011-06-03",3.699,FALSE,34639,129624,69574,135260
"2011-06-10",3.648,FALSE,30561,137181,68642,136364
"2011-06-17",3.637,FALSE,36042,131904,64494,135198
"2011-06-24",3.594,FALSE,36992,112913,60234,121815
"2011-07-01",3.524,FALSE,37494,120156,64091,128055
"2011-07-08",3.48,FALSE,32577,134862,68829,133213
"2011-07-15",3.575,FALSE,37570,131781,66176,127906
"2011-07-22",3.651,FALSE,35464,118968,64679,121483
"2011-07-29",3.682,FALSE,36133,111929,60915,117285
"2011-08-05",3.684,FALSE,41315,137310,71058,138538
"2011-08-12",3.638,FALSE,39234,139822,71111,138567
"2011-08-19",3.554,FALSE,42482,132026,67603,133261
"2011-08-26",3.523,FALSE,49944,117474,66796,122722
"2011-09-02",3.533,FALSE,47055,131142,69865,130446
"2011-09-09",3.546,TRUE,38861,144592,67511,133763
"2011-09-16",3.526,FALSE,44657,143871,69044,133939
"2011-09-23",3.467,FALSE,33809,122462,61440,116165
"2011-09-30",3.355,FALSE,39319,120507,58102,115664
"2011-10-07",3.285,FALSE,38528,155371,66760,132805
"2011-10-14",3.274,FALSE,44371,145458,62603,125954
"2011-10-21",3.353,FALSE,56909,134783,60048,116931
"2011-10-28",3.372,FALSE,47744,125065,58438,108018
"2011-11-04",3.332,FALSE,63621,152402,59512,114794
"2011-11-11",3.297,FALSE,42060,165723,59519,115047
"2011-11-18",3.308,FALSE,43051,170303,58928,113966
"2011-11-25",3.236,TRUE,203670,186516,66409,112689
"2011-12-02",3.172,FALSE,55188,128136,48816,102799
"2011-12-09",3.158,FALSE,60495,165633,52716,119054
"2011-12-16",3.159,FALSE,62425,173806,57061,120721
"2011-12-23",3.112,FALSE,94243,194840,70155,125041
"2011-12-30",3.129,TRUE,59733,120037,48990,93359
"2012-01-06",3.157,FALSE,39235,148783,62836,116428
"2012-01-13",3.261,FALSE,37249,158155,62645,118685
"2012-01-20",3.268,FALSE,37527,140411,61140,113021
"2012-01-27",3.29,FALSE,43661,128947,58957,102202
"2012-02-03",3.36,FALSE,62525,147180,63151,115507
"2012-02-10",3.409,TRUE,98105,158242,64980,125038
"2012-02-17",3.51,FALSE,81287,155731,85111,119808
"2012-02-24",3.555,FALSE,57718,129648,58256,110871
"2012-03-02",3.63,FALSE,57118,138639,60984,118406
"2012-03-09",3.669,FALSE,48275,151585,62615,125841
"2012-03-16",3.734,FALSE,57136,152801,64587,132318
"2012-03-23",3.787,FALSE,44132,127013,61317,117031
"2012-03-30",3.845,FALSE,45350,127691,62567,127706
"2012-04-06",3.891,FALSE,40175,165040,73688,137959
"2012-04-13",3.891,FALSE,40241,147311,68132,129438
"2012-04-20",3.877,FALSE,43177,135336,63164,123173
"2012-04-27",3.814,FALSE,33229,125371,62288,118589
"2012-05-04",3.749,FALSE,36684,140938,65730,130920
"2012-05-11",3.688,FALSE,39483,143194,73402,131342
"2012-05-18",3.63,FALSE,35719,139743,82835,129031
"2012-05-25",3.561,FALSE,39802,124557,63667,127603
"2012-06-01",3.501,FALSE,39792,134206,63038,130573
"2012-06-08",3.452,FALSE,42900,153677,62554,139857
"2012-06-15",3.393,FALSE,44314,153216,63073,140806
"2012-06-22",3.346,FALSE,43727,126764,58804,124594
"2012-06-29",3.286,FALSE,37125,125650,60793,131936
"2012-07-06",3.227,FALSE,38528,156581,65668,148798
"2012-07-13",3.256,FALSE,44167,148532,61040,129725
"2012-07-20",3.311,FALSE,32363,134590,61194,126861
"2012-07-27",3.407,FALSE,34395,123464,59097,121031
"2012-08-03",3.417,FALSE,40144,141451,65566,134832
"2012-08-10",3.494,FALSE,40664,150013,65344,137408
"2012-08-17",3.571,FALSE,40176,149962,69100,136265
"2012-08-24",3.62,FALSE,39730,127018,60146,118845
"2012-08-31",3.638,FALSE,39515,132574,62780,124741
"2012-09-07",3.73,TRUE,40231,160693,70776,140657
"2012-09-14",3.717,FALSE,40346,148861,64491,128543
"2012-09-21",3.721,FALSE,61884,139355,61873,119121
"2012-09-28",3.666,FALSE,50209,122434,58664,115326
"2012-10-05",3.617,FALSE,54480,159460,63584,127009
"2012-10-12",3.601,FALSE,42221,156945,62888,124560
"2012-10-19",3.594,FALSE,36267,146388,62768,123346
"2012-10-26",3.506,FALSE,35283,132156,60279,117375
